Sat Mar 22 00:53:48 2025    minecraft.prof

         1937989 function calls (1937944 primitive calls) in 6.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 arraydatatype.py:75(get_output_handler)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.000    0.000 opengl.py:142(set_directional_light)
        1    0.000    0.000    0.000    0.000 pkgdata.py:45(getResource)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       35    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 random.py:242(_randbelow_with_getrandbits)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 plugins.py:33(by_name)
        1    0.000    0.000    0.001    0.001 arraydatatype.py:65(handler_by_plugin_name)
        2    0.000    0.000    0.000    0.000 __init__.py:1698(_setup_prefix)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       18    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 __init__.py:1203(resource_exists)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        5    0.000    0.000    0.000    0.000 numpymodule.py:110(zeros)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.179    0.179 maps.py:40(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:2450(_is_unpacked_egg)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       15    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 random.py:291(randrange)
       24    0.000    0.000    0.000    0.000 baseplatform.py:130(wrapContextCheck)
       24    0.000    0.000    0.000    0.000 logs.py:75(logOnFail)
       24    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        5    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:1323(append)
        5    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 random.py:332(randint)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        5    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1502(has_resource)
        3    0.000    0.000    0.000    0.000 ctypesarrays.py:18(from_param)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       14    0.000    0.000    0.000    0.000 converters.py:171(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 perlin_noise.py:19(__init__)
